Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
"through arts, culture and sport",audience of arts performances                Globa,,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value to an individual of participating in Globa arts,person per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value to a young person of extra- Globa curricular activities (2024),er of le per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value to young people of improved health and wellbeing as a result of          Globa playing football,person,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
Income Decile,Decile Between Lowest and Highest Globa Family Wealth (2020),family,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increased development employment opportunities and skills levels,GMCA Employment and Support Allowance Fiscal and economic benefit Globa from a workless claimant entering work (2024),claimant year,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Increased development employment opportunities and skills levels,GMCA Income Support Fiscal and economic benefit from a workless             Globa claimant entering work (2024),claimant year,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Increased development employment opportunities and skills levels,GMCA Job Seeker's Allowance Fiscal and economic benefit from a workless         Globa claimant entering work (2024),claimant year,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Increased development employment opportunities and skills levels,GMCA Personal Independence Payment Daily living component: higher rate          Globa (2024),week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
development employment opportunities and skills levels,Improved wellbeing resulting from               pe Global participation in employment training            ye (provided through workplace or a Job Centre scheme),per,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,3,
Increased development employment opportunities and skills levels,Value of working for a company that             Nu Global shares your values (2021)                       em,,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,3,
Increased development employment opportunities and skills levels,Nu Value to an individual of improving Global   pe literacy skills ye,,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,3,
Increased development employment opportunities and skills levels,Nu Value to an individual of improving Global   pe numeracy skills ye,,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,3,
Increased participation in recreation,Nu Annual cost of family membership for Global   fa National Trust (2018) ye,er,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increased participation in recreation,Nu Average annual household spend on Global   ho recreation and culture (2018) pe,,,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/expenditure/bulletins/familyspendingintheuk/latest,Direct UK statistics,3,
Increased use of public transport and reduced dependence on private cars,Nu Tax car mileage rate (2019)            Global mi,,,https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct/supporting UK source,3,
Increased volunteering and community participation,Nu Improved reputation of Global   or organisation/charity (2016) pe,ons,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
community participation,Value per volunteer in UK (2013)          Global,of ers,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Increased volunteering and community participation,Value placed by a local authority on Global volunteering (2019),of,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Increased volunteering and community participation,Value that frequent volunteers place on Global volunteering (2018),of per,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Increase in the creation of new micro-enterprises,Average cost of starting a micro- Global business (2023),iness,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increasing the capability of people to have a say over decisions,Average cost of advocacy (2013)           Global,of,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increasing the capability of people to have a say over decisions,Average cost of councillors allowances Global at district level (2024),ncillor,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increasing the capability of people to have a say over decisions,Average salary of a marketing Global consultant (2021),of per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,3,
Increasing the capability of people to have a say over decisions,Cost estimate for Local Authorities of implementing proposed duty to             Global promote local democracy (2024),ncil,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Increasing the capability of people to have a say over decisions,Solicitors or legal executives fee        Global,r,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Individuals given advice/training to become more efficient at work (specifically aimed at single session training rather than courses),Average amount spent on training per Global employee (2024),"mployee, ear",,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,3,
Individuals given advice/training to become more efficient at work (specifically aimed at single session training rather than courses),Value to employee of improving literacy Global skills (2024),"mployee, ear",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Individuals given advice/training to become more efficient at work (specifically aimed at single session training rather than courses),Value to employee of improving Global numeracy skills (2024),"mployee, ear",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Individuals given advice/training to become more efficient at work (specifically aimed at single session training rather than courses),Value to employees of essential skill Global training (wage increase) (2024),"mployee, ear",,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,3,
Learning and training for people to enter and progress in work,Adult learning course enabling someone Global to progress in work or in a career (2012),erson per,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,3,
Learning and training for people to enter and progress in work,Average cost of a 2 week educational Global placement (2024),per ment,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,4,
Learning and training for people to enter and progress in work,Average cost of earnings foregone by       Global youth unemployment (2007),of per,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,4,
Learning and training for people to enter and progress in work,Average increase in salary from having a Global degree (2011),of per,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,4,
Learning and training for people to enter and progress in work,Average salary of a modern apprentice Global (2021),of per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,4,
